1,1,1,1
1,1,2,1
1,6,7,1
1,14,15,1
1,14,16,1
1,14,17,1
1,14,18,1
1,14,19,1
1,14,20,1
1,14,21,1
1,14,22,1
1,14,23,1
1,14,24,1
1,14,25,1
1,14,26,1
1,14,27,1
1,14,28,1
1,14,29,1
1,14,30,1
1,14,31,1
1,14,32,1
1,14,33,1
1,14,34,1
1,14,35,1
1,14,36,1
1,14,37,1
1,14,38,1
1,14,39,1
1,14,40,1
1,14,41,1
1,14,42,1
1,14,43,1
1,14,44,1
1,14,45,1
1,14,46,1
1,14,47,1
2,3,3,1
2,9,314,1
2,10,11,1
2,10,12,1
2,11,10,1
2,12,12,1
2,14,338,1
2,81,198,1
2,81,292,1
2,81,294,1
2,119,104,1
2,119,294,1
2,192,297,1
2,198,81,1
2,198,292,1
2,198,294,1
2,271,272,1
2,292,81,1
2,292,198,1
2,292,292,1
2,292,293,1
2,292,294,1
2,294,81,1
2,294,104,1
2,294,198,1
2,294,292,1
2,295,296,1
2,296,295,1
2,300,301,1
2,303,304,1
2,306,307,1
2,308,309,1
2,310,308,1
2,310,309,1
2,311,312,1
2,316,317,1
2,318,319,1
2,318,320,1
2,321,192,1
2,321,297,1
2,321,322,1
2,323,324,1
2,323,328,1
2,331,332,1
2,333,334,1
2,335,159,1
2,335,336,1
2,337,15,1
2,339,340,1
2,341,342,1
3,4,5,1
3,366,367,1
4,6,7,1
5,8,8,1
5,9,9,1
5,9,313,1
5,9,314,1
5,10,11,1
5,10,12,1
5,11,10,1
5,11,12,1
5,11,13,1
5,12,10,1
5,12,11,1
5,12,12,1
5,13,11,1
5,266,315,1
5,273,273,1
5,273,274,1
5,273,275,1
5,273,276,1
5,273,277,1
5,273,278,1
5,273,279,1
5,273,280,1
5,273,281,1
5,273,282,1
5,273,283,1
5,273,284,1
5,273,285,1
5,273,286,1
5,273,287,1
5,273,288,1
5,273,289,1
5,273,290,1
5,273,291,1
5,323,209,1
5,323,310,1
5,323,324,1
5,323,325,1
5,323,326,1
5,323,327,1
5,323,328,1
5,323,329,1
5,323,330,1
5,343,94,1
5,343,343,1
5,343,344,1
5,348,100,1
5,348,143,1
5,348,348,1
5,348,349,1
5,348,350,1
5,348,351,1
5,348,352,1
5,348,353,1
5,348,354,1
5,348,355,1
5,348,356,1
5,348,357,1
5,348,358,1
5,348,359,1
5,348,360,1
5,348,361,1
5,348,362,1
5,348,363,1
5,348,364,1
5,348,365,1
6,9,314,1
6,10,11,1
6,81,294,1
6,169,145,1
6,192,297,1
6,258,51,1
6,266,302,1
6,266,315,1
6,295,305,1
6,296,295,1
6,296,305,1
6,298,299,1
6,299,346,1
6,303,304,1
6,306,307,1
6,308,309,1
6,311,312,1
6,345,346,1
6,347,346,1
7,366,367,1
